addy:api-and-interface-design	installed	never	worker		architecture	~/.agents/skills/api-and-interface-design	false
addy:browser-testing-with-devtools	reference-only	never	worker		ui	skills/upstream/addyosmani-agent-skills/skills/browser-testing-with-devtools/SKILL.md	false
addy:ci-cd-and-automation	firstmate_candidate	explicit	worker	IMPLEMENT	implement	skills/upstream/addyosmani-agent-skills/skills/ci-cd-and-automation/SKILL.md	false
addy:code-review-and-quality	firstmate_candidate	explicit	worker	REVIEW	review	skills/upstream/addyosmani-agent-skills/skills/code-review-and-quality/SKILL.md	false
addy:code-simplification	firstmate_candidate	explicit	worker	IMPLEMENT	simplification	skills/upstream/addyosmani-agent-skills/skills/code-simplification/SKILL.md	false
addy:constraint-driven-development	firstmate_candidate	explicit	worker	IMPLEMENT	implement	skills/upstream/addyosmani-agent-skills/skills/constraint-driven-development/SKILL.md	false
addy:context-engineering	installed	never	worker		meta	~/.agents/skills/context-engineering	false
addy:debugging-and-error-recovery	firstmate_candidate	explicit	worker	DEEP	debugging	skills/upstream/addyosmani-agent-skills/skills/debugging-and-error-recovery/SKILL.md	false
addy:deprecation-and-migration	firstmate_candidate	auto-candidate	worker	IMPLEMENT,IMPLEMENT-LARGE	implement	skills/upstream/addyosmani-agent-skills/skills/deprecation-and-migration/SKILL.md	true
addy:documentation-and-adrs	firstmate_candidate	auto-candidate	worker	IMPLEMENT,ARCHITECTURE	docs	skills/upstream/addyosmani-agent-skills/skills/documentation-and-adrs/SKILL.md	true
addy:doubt-driven-development	firstmate_candidate	explicit	worker	IMPLEMENT	verification	skills/upstream/addyosmani-agent-skills/skills/doubt-driven-development/SKILL.md	false
addy:frontend-ui-engineering	firstmate_candidate	auto-candidate	worker	UI/BROWSER	ui	skills/upstream/addyosmani-agent-skills/skills/frontend-ui-engineering/SKILL.md	true
addy:idea-refine	reference-only	never	captain		planning	skills/upstream/addyosmani-agent-skills/skills/idea-refine/SKILL.md	false
addy:incremental-implementation	installed	never	worker		implement	~/.agents/skills/incremental-implementation	false
addy:interview-me	reference-only	never	captain		planning	skills/upstream/addyosmani-agent-skills/skills/interview-me/SKILL.md	false
addy:observability-and-instrumentation	firstmate_candidate	auto-candidate	worker	IMPLEMENT	implement	skills/upstream/addyosmani-agent-skills/skills/observability-and-instrumentation/SKILL.md	true
addy:performance-optimization	firstmate_candidate	auto-candidate	worker	DEEP,IMPLEMENT	performance	skills/upstream/addyosmani-agent-skills/skills/performance-optimization/SKILL.md	true
addy:planning-and-task-breakdown	installed	never	worker		planning	~/.agents/skills/planning-and-task-breakdown	false
addy:security-and-hardening	installed	never	worker		security	~/.agents/skills/security-and-hardening	false
addy:source-driven-development	firstmate_candidate	explicit	worker	IMPLEMENT	implement	skills/upstream/addyosmani-agent-skills/skills/source-driven-development/SKILL.md	false
addy:spec-driven-development	firstmate_candidate	explicit	worker	IMPLEMENT	planning	skills/upstream/addyosmani-agent-skills/skills/spec-driven-development/SKILL.md	false
brooks:brooks-audit	reference-only	never	worker		architecture	skills/upstream/hyhmrright-brooks-lint/skills/brooks-audit/SKILL.md	false
brooks:brooks-debt	reference-only	never	worker		implement	skills/upstream/hyhmrright-brooks-lint/skills/brooks-debt/SKILL.md	false
brooks:brooks-health	reference-only	never	worker		review	skills/upstream/hyhmrright-brooks-lint/skills/brooks-health/SKILL.md	false
brooks:brooks-review	reference-only	never	worker		review	skills/upstream/hyhmrright-brooks-lint/skills/brooks-review/SKILL.md	false
